"CLIENT_ID","IS_INTERESTED_INVESTMENT","IS_INTERESTED_BUILD_CREDIT","IS_INTERESTED_INCREASE_INCOME","IS_INTERESTED_PAY_OFF_DEBT","IS_INTERESTED_MANAGE_SPENDING","IS_INTERESTED_GROW_SAVINGS"
1,false,false,false,false,false,false
2,false,false,false,false,false,false
3,false,false,false,false,false,false
4,false,true,true,true,true,true
5,true,false,true,true,true,false
6,false,false,false,false,false,false
7,false,false,false,false,false,false
8,false,true,false,true,false,false
9,true,true,true,false,true,false
10,false,false,false,false,false,false
11,false,false,false,false,false,false
12,false,false,true,false,false,true
13,false,false,false,false,false,false
14,false,false,false,false,false,false
15,false,false,false,false,false,false
16,true,false,false,false,false,false
17,false,false,false,false,false,false
18,false,false,false,false,false,false
19,false,false,false,false,false,false
20,false,false,false,false,false,false
21,false,false,false,false,false,false
22,false,false,false,false,false,false
23,false,false,false,false,false,false
24,false,false,false,false,false,false
25,true,true,true,true,true,true
26,true,false,false,false,false,false
27,false,false,false,false,false,false
28,false,false,false,false,false,false
29,false,false,false,false,false,false
30,false,false,false,false,false,false
31,false,false,false,false,false,false
32,false,false,true,false,true,false
33,false,false,false,false,false,false
34,false,false,false,false,false,false
35,true,false,false,false,false,false
36,false,false,false,false,false,false
37,false,false,false,false,false,false
38,false,false,false,false,false,false
39,true,false,false,false,false,false
40,false,false,false,false,false,false
41,false,true,false,true,false,false
42,false,false,false,false,false,false
43,false,false,false,false,false,false
44,false,false,false,false,false,true
45,false,false,false,false,false,false
46,true,false,false,false,false,false
47,false,false,false,false,false,false
48,false,false,false,false,false,false
49,false,false,false,false,false,false
50,true,false,false,false,false,false
51,false,false,false,false,false,false
52,false,false,false,false,false,false
53,false,false,false,false,false,false
54,false,false,true,false,false,true
55,false,false,true,false,false,true
56,false,false,false,false,false,false
57,true,false,false,false,false,false
58,false,false,false,false,false,false
59,false,false,false,false,false,false
60,true,false,true,true,true,true
61,false,false,false,false,false,false
62,true,true,false,true,false,true
63,false,false,false,false,false,false
64,false,false,false,false,false,false
65,false,false,false,false,false,false
66,false,false,false,false,false,false
67,false,false,false,false,false,false
68,false,false,false,false,false,false
69,true,false,false,false,false,false
70,false,false,false,false,false,false
71,false,false,false,true,false,false
72,false,false,false,false,false,false
73,false,true,false,true,false,false
74,false,false,false,false,false,false
75,false,false,true,false,true,false
76,false,false,false,false,false,false
77,false,false,false,false,false,false
78,false,false,false,false,false,false
79,true,false,false,false,false,false
80,false,false,false,false,false,false
81,false,false,false,false,false,false
82,true,true,true,false,true,false
83,false,false,false,false,false,false
84,false,false,false,false,false,false
85,false,false,false,false,false,false
86,false,false,false,false,false,false
87,true,false,true,false,true,false
88,false,false,false,false,false,false
89,false,false,false,false,false,false
90,false,false,false,false,false,false
91,false,true,false,false,false,false
92,false,false,false,false,false,false
93,false,false,false,false,false,false
94,false,false,false,false,false,false
95,false,false,false,false,false,false
96,false,false,false,false,false,false
97,false,false,true,false,false,true
98,true,false,true,false,true,false
99,false,false,false,true,false,false
100,false,false,false,false,false,false
101,false,false,false,false,false,false
102,false,false,false,false,false,false
103,false,false,false,false,false,false
104,false,false,false,false,false,false
105,false,false,false,false,false,false
106,false,false,false,false,false,false
107,false,false,false,false,false,false
108,false,false,false,false,false,false
109,false,false,false,false,false,false
110,false,false,true,false,false,false
111,true,false,false,false,false,false
112,true,true,false,true,false,false
113,false,true,true,false,false,false
114,false,false,false,false,false,false
115,false,false,false,false,true,true
116,false,false,false,false,true,false
117,false,false,false,false,false,false
118,false,false,false,false,false,false
119,false,true,false,false,true,false
120,false,false,true,false,false,true
121,false,false,false,false,false,false
122,false,false,false,false,false,false
123,false,false,false,false,false,false
124,false,false,false,false,false,false
125,false,false,false,false,false,false
126,false,false,false,false,false,false
127,false,false,false,false,false,false
128,false,false,false,false,false,false
129,false,false,false,false,false,false
130,false,false,false,false,false,false
131,false,false,false,false,false,false
132,false,false,false,false,false,false
133,false,false,false,false,false,false
134,false,false,false,false,false,false
135,false,false,false,false,false,false
136,false,false,false,false,false,false
137,false,false,false,false,false,false
138,false,false,false,false,false,false
139,false,false,false,false,false,false
140,false,false,true,false,true,true
141,false,false,false,false,false,false
